,2DEVP_S1,2DEVP_S2,2DEVP_S3,2DExomere_S1,2DExomere_S2,2DExomere_S3,2DSuper_S1,2DSuper_S2,2DSuper_S3,3DEVP_S1,3DEVP_S2,3DEVP_S3,3DExomere_S1,3DExomere_S2,3DExomere_S3,3DSuper_S1,3DSuper_S2,3DSuper_S3,FPLCExomere_S1,FPLCExomere_S2,FPLCExomere_S3,FPLCExomere_S4,FPLCSuper_S1,FPLCSuper_S2,FPLCSuper_S3,FPLCSuper_S4,3DEV_S1,3DEV_S2,3DEV_S3,3DEV_S4,3DhEV_S1,3DhEV_S2,3DhEV_S3,3DhEV_S4,3DNV_S1,3DNV_S2,3DNV_S3,3DNV_S4,NCBSuper_S1,NCBSuper_S2,NCBSuper_S3,NCBEV_S1,NCBEV_S2,NCBEV_S2,NCBExomere_S1,NCBExomere_S2,NCBExomere_S3
HSPA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.086674113,0,0,0,0,0,0
HSPA8,5.665299456,5.805637433,5.828273982,6.142770713,6.04655385,6.232063685,6.771777515,6.680417236,7.200715636,4.889790045,4.851847799,5.042931425,5.466110981,5.572769122,5.561664694,6.326845974,6.369837921,6.317644995,5.646209231,5.491067669,5.311108158,4.738484069,6.907229373,6.749610403,6.979870424,6.857980995,6.025570328,6.050023156,5.908747223,6.208098351,5.850417365,5.411684905,5.686734793,5.234485315,0,0,3.474430172,2.600000002,7.721564935,8.107950962,8.065956264,6.873706371,7.005197819,7.266946805,7.199057592,7.307470891,7.553359302
HSPA9,1.58012073,1.941625202,1.791837015,2.268089723,2.532736393,2.193583806,2.810463839,3.079707418,3.141943704,0,1.455392216,0.956200116,0,0,0,2.031594606,1.53606782,1.632427638,0,0,0,0,0.90705003,1.937434512,2.443780137,1,1.380514028,1.373875901,1.266997295,1.333072201,2.053047961,2.069533795,1.989531496,1.933211842,0,0,0,0,2.541325441,2.5628543,2.991405198,1.294777441,0,0,2.812485386,3.317774311,3.135041216
HSPB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.516220617,0,0,0,0
HSPBP1,0.996370196,0.961347078,0.864613417,2.749592966,2.532736393,3.176707196,2.621946525,3.367096615,3.621272161,2.750456577,2.421096055,3.242104959,2.275117866,2.362292771,2.813553664,2.843407086,1.944875303,2.378701702,1.098576504,0,0,2.338300494,1.459649025,2.2550935,1.873574051,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702653929,2.870119476,2.552558415,0,0,0,0.739362081,1.785217586,1.643015738
HSPD1,3.578300868,3.388364695,4.052779486,4.520226243,4.583523545,4.168194276,5.035364569,5.292927173,5.161372746,7.042414864,7.177326455,6.794449299,4.801293323,5.093177717,5.136306249,5.085114184,4.88266505,4.65271247,4.350805562,5.268287202,4.30205236,4.500654413,0,1.529484238,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,6.038750209,5.986668499,6.067134848,4.600166449,2.786809276,2.270656823,5.050196927,5.267391018,5.185324799
HSPE1,0,0,0,1.949586033,1.543333959,3.551296021,3.605364131,3.712975173,4.131254579,0,3.517762757,3.824024523,3.40611886,3.854102726,3.707114185,4.994835424,5.451233364,5.156058903,0,0,1.168913826,0,5.366655557,5.441403428,5.504828267,3.906890596,0,0,0,0,0,0,1.989531496,2.7307681,2.69678497,0,2.598717113,0,3.315236312,3.338604144,3.424045294,0,0,0,1.588954437,1.785217586,0.772077092
HSPG2,7.101308498,7.092114166,6.004626781,7.759235565,7.738286087,6.4093654,5.400756696,5.544064347,2.163087258,6.473288124,6.212901256,6.435587864,7.918763855,7.932715466,7.937937064,7.118483355,6.992677743,7.157580619,8.57401509,8.265643089,8.681178389,8.889730033,4.67275357,4.168436296,4.479950965,5.614709844,0,1.373875901,0,0,6.669511076,7.178793846,7.916819935,8.22794679,7.709945877,8.396189278,8.250055072,8.41029039,2.359658284,3.002253863,2.552558415,1.965981088,1.748636129,1.827934899,6.10041398,6.152565956,5.812567049
HSPH1,4.947162596,5.171675355,5.393779452,5.606164249,5.771115434,5.698642385,5.784920279,5.782529511,5.801931499,5.519778446,5.662657402,5.819448049,6.351342243,6.407231069,6.49900225,6.611394305,6.511775177,6.624480092,5.741626498,5.742978861,5.217396799,4.877717713,5.271795808,6.145933536,6.060083759,4.584962501,4.220308535,4.08036687,4.269468584,4.477120642,2.867824406,0,1.989531496,0,0,0,0,0,5.579990513,5.626039101,5.634226563,4.204821313,3.384274956,3.311212162,5.363390124,5.172704725,5.510543631
HTATIP2,3.163465689,2.931662233,2.919685889,2.268089723,0.968891745,0.921132385,0,0.9499485,0,0.96708259,1.853383544,1.526262086,0.970922069,1.025359956,1.003619168,0,0,0,0,1.05142317,0,0,0,0,0,0,2.072868086,2.88100595,2.383995806,2.823248847,0,0,0,0,0,0,0,0,0,1.264537373,0,1.965981088,1.124462919,1.185956953,0.739362081,1.785217586,2.182257962
HTATSF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529484238,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTRA1,0,0,0,0,0,0,0,0,1.453839514,0,0.903929473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.908809775,1.927897643,1.9187651,0,0,0,1.588954437,2.091622856,1.272293996
HTRA2,0,0,0,0.966587184,0,0.921132385,2.149649735,0.9499485,0,1.950337883,1.455392216,1.526262086,1.546060213,1.025359956,1.003619168,1.021139762,1.53606782,1.03574445,0,1.05142317,0,0,2.644143159,3.095469549,2.85138244,3,0,0,0,0,0,0,1.989531496,1.933211842,0,0,0,0,1.908809775,1.927897643,2.370579781,0,0,0,1.588954437,0.860421079,1.272293996
HTT,3.163465689,3.251589451,3.439652425,3.109978656,3.527408274,1.880020556,0,0,0,1.950337883,2.164986415,1.933791208,0,1.025359956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.374639589,2.911604374,3.623355003
HUWE1,3.452825167,3.734726159,4.533749939,4.74220736,4.939105679,4.429804965,0,1.51783371,1.453839514,5.394376531,5.532943002,5.042931425,6.334277124,6.475971859,6.530712852,0,0,0,5.434061681,5.525069138,5.35577581,5.229341445,0,0,0,1.584962501,0,0,0,0,0,0,0,0,0,0,0,2.600000002,2.151774346,2.5628543,2.16228771,1.294777441,1.124462919,1.827934899,5.079055374,4.884836478,5.185324799
HYAL2,0,0.961347078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380514028,2.064647663,2.383995806,3.103821595,0,0,0,0,0,0,0,0,0,0,0,0,2.182886454,2.270656823,0,0,0
HYI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459649025,0,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYOU1,4.241042231,3.926654829,3.202968816,3.261216432,3.265441068,1.880020556,0,0.9499485,0,3.524028291,3.279702347,3.091114753,0,2.037874702,1.589786044,3.207295283,2.744180469,2.868099561,1.714955817,2.076463354,2.246490367,2.9563868,3.629670641,3.246517199,3.428871228,3.906890596,0,0,0,0,0,0,1.989531496,0,0,0,0,0,0,0,0,2.422279928,2.182886454,1.827934899,3.064160716,3.317774311,3.538029059
IAH1,0,0,0,0,1.543333959,2.193583806,2.977170172,2.911236342,2.825330619,0.96708259,2.164986415,2.511206051,2.536168495,2.626984775,2.813553664,3.359759433,3.738788903,3.765752776,0,0,1.168913826,1.234105921,4.209776525,3.828609566,3.926957113,4.321928095,0,0,0,0,0,0,0,0,0,0,0,0,1.616472452,1.264537373,0,0,0,0,0,0,0
IARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.482279533,4.265475932,4.200159439,4.086385166,3.922430423,3.112842797,5.787234909,5.519046407,5.830620611
IARS1,5.693311085,5.900187717,6.022954354,5.661608186,5.523399232,5.484990403,4.490730752,4.151572014,4.20113292,5.741968181,5.612162378,5.467568858,3.531197087,3.854102726,4.399203272,0,0,0,4.267755043,4.488737827,3.998293229,5.064215694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARS2,2.801126798,1.941625202,3.068269276,2.749592966,2.753608502,3.43690954,2.149649735,1.51783371,3.277509632,2.529675346,2.638521785,0.956200116,0.970922069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.502231222,3.12329515,3.424045294,0,0,0,3.464872434,3.431197404,3.538029059
ICAM1,1.58012073,1.941625202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.482040271,3.014573476,2.88278249,0,0,0
ICOSLG,0,0,0,0,0,0,0.894759661,0.9499485,1.453839514,0,0,0,0,0,0,1.021139762,0.963485218,1.03574445,0,0,0,0,1.858228386,1.937434512,2.186666421,2.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDE,2.801126798,2.740444656,3.202968816,4.689831351,4.797294216,4.488413743,4.597000907,4.70921893,4.20113292,1.540903575,2.164986415,2.731434726,4.032231982,4.21745889,4.00677851,3.497640075,3.517296477,3.972912998,0,0,0,1.234105921,3.989004793,4.312393749,4.15982985,4.247927513,0,0,0,0,0,0,0,3.241403097,0,0,0,0,3.74388796,3.691675226,3.828805792,1.294777441,1.124462919,0,3.464872434,2.911604374,3.538029059
IDH1,3.900107558,3.628251645,4.533749939,4.689831351,4.640008333,5.012391479,5.692056292,5.258222963,5.660261071,5.257027753,5.477605322,5.527610258,6.401358886,6.259067252,6.177054123,6.596122915,6.746872743,6.52927284,3.985375492,5.142509327,4.552845745,5.711205723,6.728258856,6.749610403,6.830263144,5.129283017,4.736484697,4.636617942,4.269468584,4.477120642,3.385355532,0,0,0,2.69678497,2.829306972,2.598717113,2.600000002,6.500439342,6.558671028,6.41151153,4.763467141,4.030569839,3.112842797,5.409564893,5.172704725,5.441735797
IDH2,2.801126798,3.388364695,3.544865169,2.268089723,1.953082406,2.669391044,0.894759661,0,2.419108186,3.937650566,4.060116522,4.003879849,2.757142261,3.044091598,2.590989414,0,0,0,3.633934435,4.182785547,3.283768429,3.719314538,0,0,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702653929,2.724651641,2.552558415,3.281008069,2.516220617,2.270656823,3.175245132,3.317774311,3.246821555
IDH3A,0,0,1.401468483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.294777441,0,0,0.739362081,1.395685978,0.772077092
IDH3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDI1,1.58012073,2.259576362,2.098758683,1.540237874,1.953082406,0,0,0,0.90279184,2.268893588,2.164986415,2.511206051,0,0,1.003619168,1.61308057,1.944875303,1.632427638,0,1.653127323,1.168913826,1.234105921,1.858228386,2.2550935,2.186666421,2,0,0,1.266997295,0,0,0,0,0,0,0,0,0,0,0,0,1.294777441,1.748636129,0,2.120082319,1.395685978,2.182257962
IDUA,0,0,0,0,1.543333959,2.193583806,2.149649735,1.924256156,2.163087258,0,0,0,1.546060213,1.618677671,1.589786044,1.61308057,0.963485218,2.053289965,1.098576504,1.05142317,1.168913826,1.234105921,0.90705003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702653929,2.380592238,2.16228771,0,0,0,1.225814757,0,1.272293996
IFI30,0,0,0,0.966587184,1.543333959,1.880020556,2.810463839,2.911236342,2.825330619,0,1.455392216,0.956200116,1.546060213,1.025359956,1.003619168,2.843407086,2.523580768,3.061983348,0,0,0,0,3.40970041,3.508117252,3.543195199,3.459431619,0,0,0,0,0,0,0,0,0,0,0,0,3.100343189,3.002253863,2.991405198,0,0,0,0,0,0
IFI35,0,0,0.864613417,0.966587184,0,0,1.839113208,1.51783371,0.90279184,0,0,0,0.970922069,0,0,0,0.963485218,0,0,0,0,0,0.90705003,0.958592587,0.916958742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGF1R,1.994551864,2.740444656,0.864613417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.975841682,5.170585996,5.119291302,5.040327289,2.867824406,2.886554086,2.795384697,3.241403097,0,0,0,0,0,0,0,2.422279928,3.211234304,3.485573737,0,0,0
IGF2BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGF2R,0,0,0,1.949586033,2.532736393,0.921132385,0,0,0,0,0,0,0.970922069,1.025359956,1.003619168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.795384697,2.7307681,0,0,0,0,0,0,0,0,0,0,0,0,0
IGFBP3,0,0,0,1.540237874,0.968891745,0,2.149649735,1.924256156,0.90279184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGFBP4,0,0,0,1.949586033,2.271827737,0,3.126593151,3.606636986,2.825330619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958592587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616472452,1.264537373,1.9187651,0,0,0,0,0,0
IGHA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.724066632,0,0,0,0,0,0,0,0,0,0,0
IGHMBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.858228386,0,0,0,0,0,0,0,0,0,0,0,0,2.829306972,0,0,0,0,0,0,0,0,0,0,0
IGSF3,0.996370196,0.961347078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.172816473,3.163224167,3.615041015,3.875236924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGSF8,5.720789177,5.755932248,4.811887427,2.749592966,3.114149002,1.880020556,1.442864021,1.51783371,0,4.636455606,3.62351829,4.374625784,1.956160331,1.618677671,2.005425354,0,0,0,3.760834352,3.260114038,3.613037926,4.106705299,1.459649025,0.958592587,0.916958742,0,2.89033867,4.54121905,5.059694252,5.493845692,0,0,1.989531496,5.000427909,0,0,0,0,0,0,0,6.819044043,7.156077423,7.596536617,3.912476219,4.113647402,3.921677548
IGSF9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.031594606,1.53606782,2.053289965,1.714955817,1.653127323,2.246490367,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.124462919,1.827934899,0,0,0
IHH,0,1.533191662,0.864613417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89033867,2.88100595,2.728226634,2.474606879,2.053047961,0,1.989531496,1.933211842,0,0,0,0,0,0,0,0,0,0,1.225814757,0.860421079,0
IKBKAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739362081,0,0.772077092
IL10RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.748636129,0,0,0,0
IL13RA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61308057,0.963485218,1.03574445,0,0,0,0,1.459649025,0.958592587,1.473143559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL17D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.264537373,0,0,0,0,0,0,0
IL1R2,0,0,0,0,0,0,0.894759661,2.240990417,0,0,0,0,0,0,0,1.021139762,0.963485218,1.03574445,0,0,0,0,1.459649025,1.529484238,1.473143559,2.321928095,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,0,0,0,0,0,0,0,0
ILDR1,1.58012073,1.533191662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380514028,0,1.266997295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILF2,3.163465689,2.740444656,3.821059837,4.520226243,4.583523545,4.797429663,5.540489393,5.292927173,5.583842559,4.184907225,4.666322275,4.499810006,5.402039844,5.258399008,5.292446585,4.898527986,5.09805419,5.278214014,4.503808314,4.852343856,4.30205236,4.66348089,5.06102732,4.918663183,5.190821597,5.426264755,0,0,0,0,0,0,0,0,0,2.829306972,4.716298833,0,5.379764065,5.356541578,5.416667226,2.768410014,2.786809276,1.827934899,3.975228919,3.893814407,4.050500563
ILF3,0.996370196,0.961347078,2.098758683,4.106148,4.399449,4.887292885,5.278326981,5.423953463,5.388016891,4.328956263,4.509625417,4.374625784,5.586301015,5.63421446,5.650941239,5.128219809,5.175945885,5.238633838,2.972434909,3.551606284,2.856411626,2.680193992,4.340174758,4.67405044,5.081545906,4.584962501,0,0,0,0,2.053047961,0,0,0,0,0,0,0,4.482279533,4.634740008,4.086674113,0,0,0,2.507429953,2.559102357,2.39131683
ILK,0.996370196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.072868086,3.163224167,2.383995806,2.823248847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILKAP,0.996370196,0,0.864613417,1.949586033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.257310231,0,0,0,1.588954437,0,1.643015738
IMMT,0,0,0.864613417,0,0,0,0.894759661,0.9499485,0.90279184,0,0,0,0,0,0,0,0.963485218,1.03574445,0,0,0,0,1.858228386,2.5152748,2.661928568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPA1,0,0,0,0,0,1.47881758,0.894759661,0.9499485,1.851615862,1.540903575,2.164986415,2.251195448,0.970922069,1.618677671,1.589786044,1.61308057,1.53606782,1.03574445,1.098576504,1.05142317,0,1.234105921,0.90705003,1.529484238,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.625618656,0,0,0,0,0,0
IMPA2,0,0,0,0,0,0,0.894759661,0,1.453839514,2.268893588,2.421096055,1.526262086,0,1.618677671,1.003619168,0,0,0,1.098576504,1.05142317,1.168913826,2.338300494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,1.264537373,0,0,0,0,1.225814757,0.860421079,0.772077092
IMPAD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPDH1,0,0,2.351701379,0,1.543333959,1.880020556,0,0,0,1.540903575,1.455392216,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225814757,1.785217586,0.772077092
IMPDH2,3.993186609,4.247579354,4.853444675,3.936702387,3.527408274,4.368714044,2.405039482,2.720458447,2.825330619,4.579976752,4.270100252,3.724923947,1.546060213,1.025359956,1.589786044,0,0,0,1.098576504,1.05142317,2.246490367,2.338300494,0,0,0,0,0,0,0,0,0,0,1.989531496,0,2.69678497,0,4.015464754,4.016906216,2.359658284,2.380592238,2.552558415,3.281008069,3.211234304,2.608944111,4.443113454,4.623602133,4.563600743
INF2,3.163465689,2.740444656,2.351701379,1.949586033,1.953082406,0,0,0,0.90279184,1.950337883,2.164986415,1.933791208,0.970922069,1.618677671,1.589786044,0,0,0,0,1.05142317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63401345,1.625618656,0,0,0,1.87882341,1.785217586,1.643015738
INPP1,0,0,0,0,0.968891745,0,0.894759661,0,2.163087258,0,1.455392216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.908809775,2.171928609,2.16228771,0,0,0,1.588954437,0.860421079,1.272293996
INPP4B,0.996370196,0.961347078,1.791837015,1.540237874,1.543333959,1.47881758,0,0,0.90279184,0.96708259,0.903929473,0,0,0,1.003619168,0,0,0,0,0,0,1.234105921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616472452,1.927897643,0,0,0,0,1.588954437,2.091622856,2.182257962
INPP5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225814757,0,0.772077092
INPPL1,0.996370196,1.533191662,1.401468483,0.966587184,1.543333959,1.47881758,0.894759661,0.9499485,1.453839514,1.950337883,1.455392216,0.956200116,0,1.025359956,1.003619168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSR,0,0.961347078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.172816473,4.08036687,4.041997863,4.146756747,2.053047961,0,0,0,0,0,0,0,0,0,0,3.047356427,2.786809276,2.270656823,0,0,0
INTS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTS13,0.996370196,0.961347078,1.401468483,0.966587184,0.968891745,0.921132385,0.894759661,0.9499485,0.90279184,0,0.903929473,0,0,1.025359956,1.003619168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860421079,0.772077092
INTS3,2.578907744,2.259576362,2.098758683,1.540237874,1.543333959,0.921132385,0,0.9499485,0,0,0.903929473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225814757,1.395685978,1.272293996
INTS5,1.994551864,1.533191662,2.098758683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPO11,1.58012073,0.961347078,2.754024153,1.540237874,0,1.47881758,0,0,0,0.96708259,1.455392216,1.526262086,0.970922069,0,1.003619168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,1.63401345,1.625618656,0,0,0,1.87882341,1.395685978,2.182257962
IPO4,2.578907744,2.519953374,3.326158875,2.268089723,2.271827737,2.193583806,1.442864021,1.51783371,0,3.524028291,3.814276912,3.618510617,1.956160331,2.626984775,2.813553664,1.61308057,1.53606782,1.632427638,1.714955817,2.403347751,0,2.338300494,0,0,0,0,0,0,0,1.333072201,0,0,0,0,0,0,0,0,1.908809775,1.63401345,1.257310231,1.294777441,1.124462919,0,2.507429953,2.746092798,2.182257962
IPO5,4.800346389,5.053212244,4.371589565,6.425004229,6.364110064,5.969437639,5.913887698,5.853996283,5.417672603,5.519778446,5.758635954,5.467568858,5.072241325,5.258399008,5.328977084,3.846371158,3.392338026,3.873048029,5.139264357,4.852343856,3.457776598,4.738484069,3.000298925,3.095469549,2.85138244,1,0,1.373875901,1.931003366,0,0,0,0,0,0,0,0,0,6.023556114,5.781262928,5.805411325,3.482040271,3.538765735,3.311212162,6.042982151,5.710965996,6.092419619
IPO7,4.850963489,5.09379041,5.449042565,5.791556223,5.982465839,5.948714583,5.34084015,4.945688145,5.388016891,4.889790045,5.091865239,4.61499383,4.850134093,4.633183863,4.814326637,3.623485148,3.517296477,3.765752776,4.429334296,4.488737827,4.106809436,4.500654413,2.426542826,2.2550935,2.443780137,1.584962501,1.380514028,2.064647663,1.931003366,2.013916734,0,0,0,0,0,0,0,0,5.33122631,5.227473116,5.268412037,4.086385166,3.805523644,3.781509294,5.787234909,5.776827719,5.597462273
IPO8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225814757,0,0.772077092
IPO9,2.316116017,3.100475979,1.791837015,4.39495704,4.463452526,4.017139547,4.544844102,4.426243371,3.621272161,2.941892081,3.279702347,2.511206051,4.032231982,3.631120459,4.254777207,3.207295283,2.935479543,2.644053871,1.098576504,2.403347751,0,2.680193992,3.000298925,2.735625828,3.428871228,2.807354922,0,0,0,0,0,0,0,0,0,0,0,0,4.609839497,4.825214774,4.66298515,1.294777441,1.748636129,1.185956953,4.303360657,4.044026379,4.278051206
IQGAP1,5.60758979,5.349766493,5.044971775,6.142770713,6.277741436,6.497613987,7.011626653,6.954174064,6.866259173,5.394376531,5.5598357,5.640679694,6.317007729,6.442010841,6.416535377,6.381313409,6.450408991,6.609042164,5.995005322,5.957373294,5.928946575,5.377493611,6.058328219,6.00469636,6.188610566,6.700439718,5.243480877,5.698582098,5.803678067,5.676372903,3.76545739,0,3.309356743,2.7307681,2.69678497,2.829306972,0,0,6.823570002,6.768086652,6.689319922,5.570114554,5.591205073,5.294777951,5.640069556,5.544479698,5.465038286
IQGAP3,3.452825167,2.931662233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.086385166,4.030569839,4.419692666,0.739362081,0,1.272293996
IREB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63401345,0,0,0,0,0,0,0
IRF3,0,0,0,0,0,0,0,0,0.90279184,0,0.903929473,0,0,0,0,0,0,0,0,0,0,0,1.459649025,0,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRGQ,0,0,0,0,0,0,2.149649735,2.911236342,3.277509632,0,0,0.956200116,0,0,0,2.031594606,2.523580768,2.053289965,0,0,0,0,1.858228386,2.5152748,2.186666421,2,0,0,0,0,0,0,0,0,0,0,0,0,1.908809775,1.927897643,2.16228771,0,0,0,0,0,0
ISG15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03574445,0,0,0,0,1.858228386,0.958592587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
